cultivation_id,passbook_number,season,cultivated_area_acres,crop,quantity_produced_quintals
CUL000411,PPB000328,2026-KHARIF,1.62,Cotton,7.17
CUL000412,PPB000329,2026-KHARIF,1.1,Maize,26.19
CUL000413,PPB000330,2026-KHARIF,0.78,Maize,18.92
CUL000414,PPB000331,2026-KHARIF,1.59,Soybean,11.28
CUL000415,PPB000332,2026-KHARIF,2.13,Maize,35.41
CUL000416,PPB000333,2026-KHARIF,2.47,Paddy,68.54
CUL000417,PPB000334,2026-KHARIF,2.61,Soybean,15.06
CUL000418,PPB000335,2026-KHARIF,8.03,Cotton,62.24
CUL000419,PPB000336,2026-KHARIF,1.52,Soybean,14.28
CUL000420,PPB000337,2026-KHARIF,7.95,Soybean,63.14
CUL000421,PPB000337,2026-KHARIF,0.53,Maize,9.47
CUL000422,PPB000338,2026-KHARIF,2.16,Groundnut,17.2
CUL000423,PPB000339,2026-KHARIF,4.6,Paddy,95.78
CUL000424,PPB000339,2026-KHARIF,0.66,Paddy,14.19
CUL000425,PPB000340,2026-KHARIF,3.32,Paddy,97.42
CUL000426,PPB000340,2026-KHARIF,2.41,Maize,60.05
CUL000427,PPB000341,2026-KHARIF,2.54,Paddy,54.19
CUL000428,PPB000342,2026-KHARIF,5.75,Cotton,38.32
CUL000429,PPB000343,2026-KHARIF,0.81,Cotton,4.31
CUL000430,PPB000344,2026-KHARIF,3.33,Paddy,99.51
CUL000431,PPB000345,2026-KHARIF,8.15,Maize,186.6
CUL000432,PPB000346,2026-KHARIF,5.59,Soybean,30.96
CUL000433,PPB000346,2026-KHARIF,0.85,Groundnut,9.37
CUL000434,PPB000347,2026-KHARIF,7.56,Cotton,34.43
CUL000435,PPB000348,2026-KHARIF,1.71,Cotton,7.92
CUL000436,PPB000348,2026-KHARIF,0.73,Groundnut,4.8
CUL000437,PPB000349,2026-KHARIF,4.9,Paddy,117.28
CUL000438,PPB000350,2026-KHARIF,6.01,Soybean,54.4
CUL000439,PPB000351,2026-KHARIF,6.46,Cotton,33.43
CUL000440,PPB000352,2026-KHARIF,0.71,Maize,16.29
CUL000441,PPB000352,2026-KHARIF,0.32,Cotton,1.55
CUL000442,PPB000353,2026-KHARIF,0.88,Maize,13.52
CUL000443,PPB000353,2026-KHARIF,0.6,Paddy,12.89
CUL000444,PPB000354,2026-KHARIF,1.04,Paddy,23.74
CUL000445,PPB000354,2026-KHARIF,1.58,Cotton,9.98
CUL000446,PPB000355,2026-KHARIF,1.15,Paddy,33.69
CUL000447,PPB000355,2026-KHARIF,0.73,Groundnut,7.57
CUL000448,PPB000356,2026-KHARIF,3.24,Maize,77.62
CUL000449,PPB000357,2026-KHARIF,2.97,Soybean,17.69
CUL000450,PPB000358,2026-KHARIF,0.58,Cotton,3.22
CUL000451,PPB000359,2026-KHARIF,1.39,Soybean,12.4
CUL000452,PPB000359,2026-KHARIF,0.97,Soybean,5.49
CUL000453,PPB000360,2026-KHARIF,5.12,Soybean,42.46
CUL000454,PPB000361,2026-KHARIF,0.56,Maize,13.74
CUL000455,PPB000362,2026-KHARIF,1.37,Cotton,6.29
CUL000456,PPB000362,2026-KHARIF,7.55,Maize,151.97
CUL000457,PPB000363,2026-KHARIF,3.51,Maize,77.95
CUL000458,PPB000364,2026-KHARIF,0.67,Paddy,17.63
CUL000459,PPB000364,2026-KHARIF,3.25,Groundnut,26.77
CUL000460,PPB000365,2026-KHARIF,1.17,Groundnut,8.44
CUL000461,PPB000366,2026-KHARIF,2.23,Groundnut,17.04
CUL000462,PPB000367,2026-KHARIF,5.15,Groundnut,49.83
CUL000463,PPB000367,2026-KHARIF,0.55,Soybean,4.87
CUL000464,PPB000368,2026-KHARIF,3.77,Groundnut,35.0
CUL000465,PPB000369,2026-KHARIF,0.56,Cotton,2.28
CUL000466,PPB000369,2026-KHARIF,1.0,Paddy,24.75
CUL000467,PPB000370,2026-KHARIF,6.84,Groundnut,64.51
CUL000468,PPB000370,2026-KHARIF,0.48,Groundnut,3.52
CUL000469,PPB000371,2026-KHARIF,3.33,Paddy,93.8
CUL000470,PPB000372,2026-KHARIF,4.11,Paddy,104.01
CUL000471,PPB000373,2026-KHARIF,0.66,Soybean,4.09
CUL000472,PPB000374,2026-KHARIF,1.32,Paddy,36.99
CUL000473,PPB000375,2026-KHARIF,1.6,Groundnut,18.62
CUL000474,PPB000376,2026-KHARIF,4.72,Cotton,33.4
CUL000475,PPB000377,2026-KHARIF,3.27,Groundnut,23.81
CUL000476,PPB000378,2026-KHARIF,1.93,Maize,46.81
CUL000477,PPB000379,2026-KHARIF,1.78,Cotton,8.38
CUL000478,PPB000379,2026-KHARIF,0.83,Paddy,22.29
CUL000479,PPB000380,2026-KHARIF,2.65,Maize,64.83
CUL000480,PPB000381,2026-KHARIF,0.59,Cotton,2.76
CUL000481,PPB000382,2026-KHARIF,2.68,Soybean,15.57
CUL000482,PPB000383,2026-KHARIF,1.67,Maize,31.09
CUL000483,PPB000383,2026-KHARIF,3.62,Cotton,18.96
CUL000484,PPB000384,2026-KHARIF,0.99,Maize,23.49
CUL000485,PPB000385,2026-KHARIF,1.73,Paddy,48.07
CUL000486,PPB000386,2026-KHARIF,3.99,Paddy,110.32
CUL000487,PPB000387,2026-KHARIF,1.54,Groundnut,13.54
CUL000488,PPB000388,2026-KHARIF,2.68,Groundnut,20.56
CUL000489,PPB000389,2026-KHARIF,0.9,Paddy,21.18
CUL000490,PPB000390,2026-KHARIF,1.68,Groundnut,19.61
CUL000491,PPB000390,2026-KHARIF,0.34,Groundnut,3.68
CUL000492,PPB000391,2026-KHARIF,1.71,Maize,28.14
CUL000493,PPB000392,2026-KHARIF,2.68,Groundnut,19.2
CUL000494,PPB000393,2026-KHARIF,0.63,Soybean,5.65
CUL000495,PPB000394,2026-KHARIF,0.97,Groundnut,10.34
CUL000496,PPB000394,2026-KHARIF,1.94,Maize,32.79
CUL000497,PPB000395,2026-KHARIF,3.66,Paddy,108.93
CUL000498,PPB000395,2026-KHARIF,0.81,Soybean,6.31
CUL000499,PPB000396,2026-KHARIF,1.09,Cotton,5.23
CUL000500,PPB000396,2026-KHARIF,0.52,Soybean,3.09
CUL000501,PPB000397,2026-KHARIF,0.52,Cotton,3.43
CUL000502,PPB000398,2026-KHARIF,7.29,Paddy,216.48
CUL000503,PPB000398,2026-KHARIF,2.02,Paddy,43.11
CUL000504,PPB000399,2026-KHARIF,4.7,Groundnut,49.8
CUL000505,PPB000400,2026-KHARIF,4.18,Groundnut,50.06
CUL000506,PPB000401,2026-KHARIF,0.86,Paddy,23.96
CUL000507,PPB000402,2026-KHARIF,1.36,Groundnut,14.87
CUL000508,PPB000403,2026-KHARIF,0.55,Paddy,11.3
CUL000509,PPB000404,2026-KHARIF,3.98,Maize,87.4
CUL000510,PPB000405,2026-KHARIF,3.34,Cotton,17.9
CUL000511,PPB000406,2026-KHARIF,1.0,Groundnut,8.18
CUL000512,PPB000407,2026-KHARIF,2.43,Cotton,13.67
CUL000513,PPB000407,2026-KHARIF,0.6,Cotton,3.19
CUL000514,PPB000408,2026-KHARIF,5.75,Groundnut,55.3
CUL000515,PPB000409,2026-KHARIF,2.19,Paddy,65.14
CUL000516,PPB000410,2026-KHARIF,2.95,Paddy,64.39
CUL000517,PPB000411,2026-KHARIF,1.4,Paddy,31.24
CUL000518,PPB000412,2026-KHARIF,2.13,Groundnut,22.43
CUL000519,PPB000413,2026-KHARIF,7.65,Groundnut,88.83
CUL000520,PPB000414,2026-KHARIF,3.49,Cotton,15.36
CUL000521,PPB000415,2026-KHARIF,2.23,Paddy,51.56
CUL000522,PPB000415,2026-KHARIF,0.56,Paddy,14.88
CUL000523,PPB000416,2026-KHARIF,1.55,Maize,24.32
CUL000524,PPB000417,2026-KHARIF,0.6,Soybean,3.13
CUL000525,PPB000418,2026-KHARIF,2.0,Paddy,45.29
CUL000526,PPB000419,2026-KHARIF,0.71,Maize,11.96
CUL000527,PPB000420,2026-KHARIF,1.46,Paddy,36.07
CUL000528,PPB000421,2026-KHARIF,1.58,Groundnut,11.74
CUL000529,PPB000422,2026-KHARIF,0.51,Groundnut,5.74
CUL000530,PPB000422,2026-KHARIF,1.57,Maize,31.28
CUL000531,PPB000423,2026-KHARIF,0.78,Maize,16.48
CUL000532,PPB000424,2026-KHARIF,0.97,Groundnut,7.52
CUL000533,PPB000424,2026-KHARIF,0.7,Groundnut,5.93
CUL000534,PPB000425,2026-KHARIF,1.13,Groundnut,12.58
CUL000535,PPB000426,2026-KHARIF,1.25,Cotton,8.24
CUL000536,PPB000427,2026-KHARIF,0.51,Paddy,12.27
CUL000537,PPB000427,2026-KHARIF,1.72,Cotton,11.64
CUL000538,PPB000428,2026-KHARIF,8.22,Groundnut,55.24
CUL000539,PPB000429,2026-KHARIF,1.67,Paddy,37.26
CUL000540,PPB000430,2026-KHARIF,6.55,Paddy,175.81
CUL000541,PPB000431,2026-KHARIF,5.16,Cotton,40.44
CUL000542,PPB000432,2026-KHARIF,4.84,Paddy,136.97
CUL000543,PPB000433,2026-KHARIF,2.02,Cotton,9.75
CUL000544,PPB000434,2026-KHARIF,1.44,Paddy,41.31
CUL000545,PPB000435,2026-KHARIF,3.41,Soybean,28.29
CUL000546,PPB000436,2026-KHARIF,4.16,Maize,98.08
CUL000547,PPB000437,2026-KHARIF,0.7,Cotton,3.33
CUL000548,PPB000438,2026-KHARIF,1.9,Cotton,10.92
CUL000549,PPB000439,2026-KHARIF,0.53,Soybean,3.07
CUL000550,PPB000440,2026-KHARIF,5.44,Groundnut,42.08
CUL000551,PPB000441,2026-KHARIF,1.28,Cotton,5.84
CUL000552,PPB000441,2026-KHARIF,2.11,Soybean,18.66
CUL000553,PPB000442,2026-KHARIF,5.54,Groundnut,35.41
CUL000554,PPB000442,2026-KHARIF,0.9,Cotton,5.92
CUL000555,PPB000443,2026-KHARIF,1.07,Cotton,7.87
CUL000556,PPB000443,2026-KHARIF,2.19,Cotton,10.17
CUL000557,PPB000444,2026-KHARIF,3.12,Maize,47.33
CUL000558,PPB000445,2026-KHARIF,4.14,Soybean,25.23
CUL000559,PPB000446,2026-KHARIF,1.25,Cotton,7.61
CUL000560,PPB000447,2026-KHARIF,1.45,Groundnut,15.66
CUL000561,PPB000448,2026-KHARIF,0.63,Groundnut,7.4
CUL000562,PPB000448,2026-KHARIF,1.12,Cotton,5.61
CUL000563,PPB000449,2026-KHARIF,2.51,Groundnut,27.95
CUL000564,PPB000450,2026-KHARIF,2.01,Groundnut,12.1
CUL000565,PPB000451,2026-KHARIF,1.38,Groundnut,11.76
CUL000566,PPB000452,2026-KHARIF,0.51,Maize,8.61
CUL000567,PPB000453,2026-KHARIF,4.71,Soybean,29.46
CUL000568,PPB000454,2026-KHARIF,1.32,Soybean,11.02
CUL000569,PPB000455,2026-KHARIF,1.15,Soybean,9.34
CUL000570,PPB000456,2026-KHARIF,2.49,Cotton,13.51
CUL000571,PPB000457,2026-KHARIF,2.99,Soybean,18.35
CUL000572,PPB000458,2026-KHARIF,2.15,Paddy,55.15
CUL000573,PPB000459,2026-KHARIF,2.48,Paddy,54.68
CUL000574,PPB000460,2026-KHARIF,2.58,Paddy,54.25
CUL000575,PPB000460,2026-KHARIF,1.79,Groundnut,15.48
CUL000576,PPB000461,2026-KHARIF,2.04,Maize,35.06
CUL000577,PPB000462,2026-KHARIF,0.57,Paddy,16.63
CUL000578,PPB000463,2026-KHARIF,1.2,Cotton,7.89
CUL000579,PPB000463,2026-KHARIF,4.61,Maize,73.46
CUL000580,PPB000464,2026-KHARIF,3.11,Paddy,87.25
CUL000581,PPB000465,2026-KHARIF,0.82,Cotton,5.05
CUL000582,PPB000466,2026-KHARIF,7.2,Soybean,65.41
CUL000583,PPB000467,2026-KHARIF,3.02,Cotton,13.29
CUL000584,PPB000468,2026-KHARIF,4.15,Cotton,16.6
CUL000585,PPB000469,2026-KHARIF,7.17,Soybean,55.79
CUL000586,PPB000470,2026-KHARIF,0.6,Paddy,17.88
CUL000587,PPB000471,2026-KHARIF,1.31,Maize,21.9
CUL000588,PPB000472,2026-KHARIF,1.5,Paddy,40.99
CUL000589,PPB000473,2026-KHARIF,3.98,Maize,64.98
CUL000590,PPB000474,2026-KHARIF,0.97,Soybean,5.94
CUL000591,PPB000474,2026-KHARIF,1.39,Paddy,37.89
CUL000592,PPB000475,2026-KHARIF,1.28,Cotton,9.39
CUL000593,PPB000476,2026-KHARIF,0.86,Paddy,24.37
CUL000594,PPB000476,2026-KHARIF,0.74,Soybean,3.73
CUL000595,PPB000477,2026-KHARIF,0.76,Maize,16.6
CUL000596,PPB000478,2026-KHARIF,0.89,Maize,15.23
CUL000597,PPB000478,2026-KHARIF,0.91,Paddy,22.16
CUL000598,PPB000479,2026-KHARIF,1.42,Groundnut,14.6
CUL000599,PPB000480,2026-KHARIF,4.85,Maize,112.95
CUL000600,PPB000481,2026-KHARIF,3.99,Soybean,23.38
CUL000601,PPB000482,2026-KHARIF,0.85,Cotton,5.46
CUL000602,PPB000482,2026-KHARIF,0.89,Paddy,19.55
CUL000603,PPB000483,2026-KHARIF,2.25,Groundnut,19.78
CUL000604,PPB000484,2026-KHARIF,6.76,Paddy,189.05
CUL000605,PPB000485,2026-KHARIF,7.15,Maize,159.95
CUL000606,PPB000486,2026-KHARIF,4.48,Soybean,42.77
CUL000607,PPB000487,2026-KHARIF,0.83,Maize,16.92
CUL000608,PPB000488,2026-KHARIF,6.84,Maize,164.71
CUL000609,PPB000489,2026-KHARIF,1.52,Groundnut,9.88
CUL000610,PPB000490,2026-KHARIF,1.7,Cotton,10.53
CUL000611,PPB000491,2026-KHARIF,0.53,Soybean,4.9
CUL000612,PPB000492,2026-KHARIF,1.54,Maize,33.86
CUL000613,PPB000493,2026-KHARIF,4.28,Groundnut,37.04
CUL000614,PPB000494,2026-KHARIF,1.91,Groundnut,12.38
CUL000615,PPB000494,2026-KHARIF,0.53,Soybean,3.09
CUL000616,PPB000495,2026-KHARIF,9.05,Cotton,37.28
CUL000617,PPB000496,2026-KHARIF,7.78,Paddy,222.73
CUL000618,PPB000497,2026-KHARIF,1.09,Maize,24.61
CUL000619,PPB000498,2026-KHARIF,1.18,Maize,23.37
CUL000620,PPB000499,2026-KHARIF,2.3,Groundnut,22.74
CUL000621,PPB000500,2026-KHARIF,2.87,Groundnut,17.66
CUL000622,PPB000501,2026-KHARIF,1.95,Cotton,10.76
CUL000623,PPB000502,2026-KHARIF,3.06,Groundnut,30.21
CUL000624,PPB000503,2026-KHARIF,2.53,Paddy,64.41
CUL000625,PPB000504,2026-KHARIF,3.81,Groundnut,35.2
CUL000626,PPB000505,2026-KHARIF,3.27,Paddy,70.32
CUL000627,PPB000506,2026-KHARIF,0.88,Paddy,20.36
CUL000628,PPB000507,2026-KHARIF,0.54,Soybean,3.96
CUL000629,PPB000507,2026-KHARIF,0.52,Paddy,10.41
CUL000630,PPB000508,2026-KHARIF,4.62,Soybean,31.08
CUL000631,PPB000509,2026-KHARIF,0.62,Groundnut,4.74
CUL000632,PPB000510,2026-KHARIF,3.02,Groundnut,20.35
CUL000633,PPB000511,2026-KHARIF,0.7,Cotton,4.23
CUL000634,PPB000511,2026-KHARIF,1.14,Cotton,7.58
CUL000635,PPB000512,2026-KHARIF,1.21,Maize,27.65
CUL000636,PPB000513,2026-KHARIF,7.02,Groundnut,72.21
CUL000637,PPB000513,2026-KHARIF,1.69,Paddy,40.67
CUL000638,PPB000514,2026-KHARIF,3.82,Groundnut,35.72
CUL000639,PPB000515,2026-KHARIF,1.7,Paddy,47.13
CUL000640,PPB000516,2026-KHARIF,0.86,Paddy,19.5
CUL000641,PPB000517,2026-KHARIF,8.45,Soybean,52.93
CUL000642,PPB000518,2026-KHARIF,4.92,Groundnut,51.32
CUL000643,PPB000519,2026-KHARIF,3.29,Cotton,25.82
CUL000644,PPB000520,2026-KHARIF,3.12,Soybean,23.38
CUL000645,PPB000521,2026-KHARIF,4.74,Soybean,40.72
CUL000646,PPB000522,2026-KHARIF,4.52,Paddy,108.47
CUL000647,PPB000523,2026-KHARIF,1.42,Paddy,30.41
CUL000648,PPB000524,2026-KHARIF,4.02,Cotton,27.75
CUL000649,PPB000524,2026-KHARIF,1.37,Cotton,7.71
CUL000650,PPB000525,2026-KHARIF,0.66,Soybean,5.8
CUL000651,PPB000526,2026-KHARIF,1.34,Groundnut,11.5
CUL000652,PPB000527,2026-KHARIF,2.66,Cotton,11.51
CUL000653,PPB000528,2026-KHARIF,4.1,Cotton,31.91
CUL000654,PPB000529,2026-KHARIF,1.21,Cotton,8.51
CUL000655,PPB000529,2026-KHARIF,3.4,Paddy,74.34
CUL000656,PPB000530,2026-KHARIF,1.34,Cotton,7.18
CUL000657,PPB000531,2026-KHARIF,3.23,Paddy,86.2
CUL000658,PPB000532,2026-KHARIF,1.77,Soybean,15.86
CUL000659,PPB000532,2026-KHARIF,1.87,Groundnut,17.68
CUL000660,PPB000533,2026-KHARIF,4.48,Paddy,106.1
CUL000661,PPB000534,2026-KHARIF,4.43,Cotton,23.6
CUL000662,PPB000535,2026-KHARIF,1.25,Paddy,33.42
CUL000663,PPB000536,2026-KHARIF,0.58,Paddy,17.36
CUL000664,PPB000537,2026-KHARIF,0.95,Maize,16.23
CUL000665,PPB000538,2026-KHARIF,0.97,Groundnut,7.32
CUL000666,PPB000539,2026-KHARIF,8.62,Paddy,206.42
CUL000667,PPB000540,2026-KHARIF,1.86,Paddy,38.88
CUL000668,PPB000541,2026-KHARIF,4.6,Paddy,117.04
CUL000669,PPB000541,2026-KHARIF,2.44,Maize,42.48
CUL000670,PPB000542,2026-KHARIF,2.47,Maize,49.22
CUL000671,PPB000543,2026-KHARIF,0.98,Cotton,7.84
CUL000672,PPB000544,2026-KHARIF,1.85,Paddy,50.38
CUL000673,PPB000545,2026-KHARIF,7.63,Groundnut,80.63
CUL000674,PPB000546,2026-KHARIF,1.68,Cotton,13.38
CUL000675,PPB000546,2026-KHARIF,0.49,Groundnut,5.46
CUL000676,PPB000547,2026-KHARIF,0.52,Maize,8.89
CUL000677,PPB000548,2026-KHARIF,7.91,Paddy,204.56
CUL000678,PPB000549,2026-KHARIF,4.88,Paddy,124.43
CUL000679,PPB000550,2026-KHARIF,1.69,Soybean,11.27
CUL000680,PPB000551,2026-KHARIF,2.74,Cotton,19.98
CUL000681,PPB000551,2026-KHARIF,3.93,Soybean,37.66
CUL000682,PPB000552,2026-KHARIF,1.47,Groundnut,15.81
CUL000683,PPB000553,2026-KHARIF,3.19,Paddy,73.73
CUL000684,PPB000554,2026-KHARIF,4.95,Groundnut,48.69
CUL000685,PPB000555,2026-KHARIF,0.67,Cotton,3.29
CUL000686,PPB000556,2026-KHARIF,4.57,Cotton,33.6
CUL000687,PPB000556,2026-KHARIF,2.33,Soybean,13.92
CUL000688,PPB000557,2026-KHARIF,8.69,Groundnut,83.53
CUL000689,PPB000558,2026-KHARIF,1.18,Soybean,7.52
CUL000690,PPB000559,2026-KHARIF,3.54,Paddy,79.83
CUL000691,PPB000560,2026-KHARIF,5.34,Cotton,24.14
CUL000692,PPB000561,2026-KHARIF,9.2,Paddy,260.32
CUL000693,PPB000561,2026-KHARIF,0.53,Cotton,2.62
CUL000694,PPB000562,2026-KHARIF,3.2,Paddy,80.62
CUL000695,PPB000562,2026-KHARIF,0.8,Maize,15.41
CUL000696,PPB000563,2026-KHARIF,7.1,Maize,168.61
CUL000697,PPB000564,2026-KHARIF,4.93,Maize,91.76
CUL000698,PPB000565,2026-KHARIF,6.97,Paddy,196.43
CUL000699,PPB000565,2026-KHARIF,0.76,Soybean,4.39
CUL000700,PPB000566,2026-KHARIF,0.73,Maize,11.68
CUL000701,PPB000566,2026-KHARIF,0.93,Maize,16.31
CUL000702,PPB000567,2026-KHARIF,2.13,Soybean,16.07
CUL000703,PPB000568,2026-KHARIF,2.3,Paddy,57.16
CUL000704,PPB000569,2026-KHARIF,3.43,Groundnut,33.84
CUL000705,PPB000569,2026-KHARIF,0.99,Maize,24.59
CUL000706,PPB000570,2026-KHARIF,0.93,Paddy,19.68
CUL000707,PPB000571,2026-KHARIF,7.27,Paddy,203.11
CUL000708,PPB000572,2026-KHARIF,3.82,Cotton,19.84
CUL000709,PPB000572,2026-KHARIF,0.71,Groundnut,7.4
CUL000710,PPB000573,2026-KHARIF,3.88,Maize,67.27
CUL000711,PPB000574,2026-KHARIF,4.72,Paddy,96.92
CUL000712,PPB000575,2026-KHARIF,1.49,Paddy,38.82
CUL000713,PPB000576,2026-KHARIF,3.52,Groundnut,33.39
CUL000714,PPB000577,2026-KHARIF,7.99,Cotton,50.31
CUL000715,PPB000578,2026-KHARIF,5.45,Soybean,54.28
CUL000716,PPB000579,2026-KHARIF,2.49,Groundnut,25.49
CUL000717,PPB000580,2026-KHARIF,7.19,Groundnut,78.0
CUL000718,PPB000580,2026-KHARIF,1.83,Cotton,13.4
CUL000719,PPB000581,2026-KHARIF,0.71,Groundnut,5.52
CUL000720,PPB000581,2026-KHARIF,1.37,Cotton,8.65
CUL000721,PPB000582,2026-KHARIF,1.44,Groundnut,9.53
CUL000722,PPB000583,2026-KHARIF,6.02,Cotton,37.79
CUL000723,PPB000584,2026-KHARIF,6.43,Maize,103.42
CUL000724,PPB000585,2026-KHARIF,1.91,Maize,43.48
CUL000725,PPB000586,2026-KHARIF,4.24,Groundnut,49.88
CUL000726,PPB000586,2026-KHARIF,0.77,Groundnut,7.85
CUL000727,PPB000587,2026-KHARIF,1.53,Paddy,37.59
CUL000728,PPB000587,2026-KHARIF,2.63,Paddy,69.48
CUL000729,PPB000588,2026-KHARIF,0.92,Cotton,5.75
CUL000730,PPB000589,2026-KHARIF,1.58,Maize,28.85
CUL000731,PPB000590,2026-KHARIF,5.99,Groundnut,40.92
CUL000732,PPB000591,2026-KHARIF,6.63,Cotton,48.48
CUL000733,PPB000592,2026-KHARIF,7.96,Paddy,237.34
CUL000734,PPB000593,2026-KHARIF,3.15,Groundnut,34.11
CUL000735,PPB000593,2026-KHARIF,4.12,Soybean,32.76
CUL000736,PPB000594,2026-KHARIF,5.4,Maize,104.44
CUL000737,PPB000595,2026-KHARIF,0.6,Groundnut,4.98
CUL000738,PPB000596,2026-KHARIF,2.59,Paddy,75.72
CUL000739,PPB000596,2026-KHARIF,1.25,Groundnut,11.11
CUL000740,PPB000597,2026-KHARIF,1.01,Maize,22.89
CUL000741,PPB000597,2026-KHARIF,3.84,Cotton,24.14
CUL000742,PPB000598,2026-KHARIF,2.27,Maize,51.69
CUL000743,PPB000599,2026-KHARIF,1.49,Maize,31.11
CUL000744,PPB000599,2026-KHARIF,0.76,Groundnut,5.8
CUL000745,PPB000600,2026-KHARIF,2.43,Maize,48.08
CUL000746,PPB000601,2026-KHARIF,0.5,Groundnut,4.3
CUL000747,PPB000602,2026-KHARIF,7.55,Soybean,40.11
CUL000748,PPB000602,2026-KHARIF,0.51,Soybean,3.83
CUL000749,PPB000603,2026-KHARIF,1.0,Maize,23.14
CUL000750,PPB000604,2026-KHARIF,2.36,Paddy,48.33
CUL000751,PPB000605,2026-KHARIF,2.92,Paddy,76.27
CUL000752,PPB000606,2026-KHARIF,0.77,Groundnut,4.96
CUL000753,PPB000607,2026-KHARIF,0.95,Soybean,8.42
CUL000754,PPB000608,2026-KHARIF,5.01,Soybean,41.13
CUL000755,PPB000609,2026-KHARIF,0.93,Cotton,4.54
CUL000756,PPB000610,2026-KHARIF,1.35,Soybean,9.72
CUL000757,PPB000611,2026-KHARIF,1.81,Paddy,49.13
CUL000758,PPB000612,2026-KHARIF,1.73,Soybean,15.25
CUL000759,PPB000613,2026-KHARIF,0.89,Groundnut,6.07
CUL000760,PPB000614,2026-KHARIF,1.94,Paddy,53.27
CUL000761,PPB000615,2026-KHARIF,6.43,Soybean,61.82
CUL000762,PPB000615,2026-KHARIF,2.12,Maize,43.79
CUL000763,PPB000616,2026-KHARIF,3.14,Cotton,12.85
CUL000764,PPB000617,2026-KHARIF,0.86,Maize,14.61
CUL000765,PPB000618,2026-KHARIF,1.01,Maize,24.79
CUL000766,PPB000618,2026-KHARIF,0.87,Maize,14.81
CUL000767,PPB000619,2026-KHARIF,0.87,Groundnut,10.06
CUL000768,PPB000619,2026-KHARIF,1.69,Maize,39.71
CUL000769,PPB000620,2026-KHARIF,5.83,Paddy,151.75
CUL000770,PPB000621,2026-KHARIF,3.51,Maize,78.99
CUL000771,PPB000622,2026-KHARIF,6.11,Cotton,27.67
CUL000772,PPB000623,2026-KHARIF,1.24,Cotton,6.82
CUL000773,PPB000623,2026-KHARIF,0.52,Soybean,2.79
CUL000774,PPB000624,2026-KHARIF,2.74,Groundnut,17.25
CUL000775,PPB000625,2026-KHARIF,3.6,Cotton,15.09
CUL000776,PPB000626,2026-KHARIF,2.38,Paddy,70.76
CUL000777,PPB000626,2026-KHARIF,0.88,Cotton,4.52
CUL000778,PPB000627,2026-KHARIF,2.2,Maize,48.01
CUL000779,PPB000628,2026-KHARIF,3.2,Groundnut,21.28
CUL000780,PPB000629,2026-KHARIF,8.36,Soybean,69.69
CUL000781,PPB000630,2026-KHARIF,1.85,Paddy,37.26
CUL000782,PPB000631,2026-KHARIF,1.82,Soybean,17.24
CUL000783,PPB000632,2026-KHARIF,0.83,Maize,14.62
CUL000784,PPB000633,2026-KHARIF,0.86,Groundnut,6.92
CUL000785,PPB000633,2026-KHARIF,1.51,Groundnut,13.03
CUL000786,PPB000634,2026-KHARIF,6.43,Maize,152.7
CUL000787,PPB000634,2026-KHARIF,0.72,Paddy,20.51
CUL000788,PPB000635,2026-KHARIF,1.76,Cotton,9.92
CUL000789,PPB000636,2026-KHARIF,2.16,Soybean,21.17
CUL000790,PPB000637,2026-KHARIF,2.71,Groundnut,25.12
CUL000791,PPB000638,2026-KHARIF,2.54,Paddy,62.32
CUL000792,PPB000638,2026-KHARIF,2.27,Soybean,21.12
CUL000793,PPB000639,2026-KHARIF,2.67,Soybean,20.27
CUL000794,PPB000639,2026-KHARIF,5.78,Paddy,136.7
CUL000795,PPB000640,2026-KHARIF,3.26,Maize,51.65
CUL000796,PPB000641,2026-KHARIF,1.21,Cotton,6.43
CUL000797,PPB000642,2026-KHARIF,1.21,Soybean,10.16
CUL000798,PPB000643,2026-KHARIF,0.64,Cotton,3.94
CUL000799,PPB000644,2026-KHARIF,3.01,Cotton,16.92
CUL000800,PPB000645,2026-KHARIF,0.95,Groundnut,9.41
CUL000801,PPB000646,2026-KHARIF,1.17,Groundnut,7.99
CUL000802,PPB000647,2026-KHARIF,1.04,Groundnut,12.2
CUL000803,PPB000648,2026-KHARIF,1.04,Groundnut,10.04
CUL000804,PPB000649,2026-KHARIF,1.66,Paddy,49.02
CUL000805,PPB000650,2026-KHARIF,1.03,Paddy,29.36
CUL000806,PPB000651,2026-KHARIF,5.03,Maize,108.76
CUL000807,PPB000652,2026-KHARIF,8.07,Groundnut,83.13
CUL000808,PPB000653,2026-KHARIF,3.89,Cotton,25.65
CUL000809,PPB000654,2026-KHARIF,6.81,Cotton,50.29
CUL000810,PPB000655,2026-KHARIF,1.57,Cotton,8.46
CUL000811,PPB000656,2026-KHARIF,7.51,Paddy,202.42
CUL000812,PPB000656,2026-KHARIF,0.4,Cotton,3.08
CUL000813,PPB000657,2026-KHARIF,8.38,Soybean,60.65
CUL000814,PPB000658,2026-KHARIF,0.99,Maize,15.11
CUL000815,PPB000658,2026-KHARIF,1.44,Cotton,7.95
CUL000816,PPB000659,2026-KHARIF,3.68,Paddy,100.07
CUL000817,PPB000660,2026-KHARIF,3.14,Groundnut,28.12
CUL000818,PPB000660,2026-KHARIF,1.69,Groundnut,15.97
CUL000819,PPB000661,2026-KHARIF,2.16,Maize,50.48
CUL000820,PPB000661,2026-KHARIF,0.65,Groundnut,6.15
